ids,descriptions
25494,Fantasy Violence
25488,Language
25485,Language
25457,Intense Violence
25428,Language
25841,Cartoon Violence
6032,Comic Mischief
24208,Comic Mischief
25528,Blood and Gore
25529,Blood and Gore
24721,Intense Violence
25495,Intense Violence
9372,Cartoon Violence
23490,Lyrics
25530,Alcohol Reference
25533,Drug Reference
25534,Alcohol Reference
25535,Intense Violence
25536,Blood and Gore
25267,Cartoon Violence
25437,Language
22565,Intense Violence
23950,Intense Violence
8367,Blood
20787,Lyrics
20788,Cartoon Violence
23541,Language
22609,Fantasy Violence
23476,Intense Violence
23477,Blood
25537,Intense Violence
25538,Blood
25539,Language
25540,Cartoon Violence
26266,Language
26348,Cartoon Violence
14040,Animated Blood
23157,Intense Violence
23158,Blood
24233,Language
24234,Cartoon Violence
13999,Language
23715,Intense Violence
22851,Intense Violence
22852,Cartoon Violence
12700,Cartoon Violence
23160,Intense Violence
23161,Blood and Gore
25541,Intense Violence
25542,Blood and Gore
20018,Language
20019,Cartoon Violence
24445,Fantasy Violence
24853,Comic Mischief
9776,Language
11875,Cartoon Violence
15813,Fantasy Violence
10718,Fantasy Violence
10719,Animated Blood
15371,Intense Violence
990,Language
12749,Cartoon Violence
22680,Drug Reference
25543,Language
26213,Blood and Gore
7825,Language
7826,Cartoon Violence
23335,Intense Violence
25545,Blood and Gore
21049,Fantasy Violence
21050,Animated Blood
23119,Blood
21036,Animated Blood
21037,Fantasy Violence
4033,Blood
24871,Blood and Gore
23542,Intense Violence
6304,Language
7633,Language
25546,Language
25547,Blood and Gore
26209,Language
26210,Cartoon Violence
6358,Language
11487,Cartoon Violence
15035,Blood
9369,Cartoon Violence
24717,Blood
21056,Blood
24268,Comic Mischief
25548,Intense Violence
25549,Blood
25187,Language
23126,Intense Violence
4422,Fantasy Violence
12789,Blood
6280,Fantasy Violence
6281,Animated Blood
23943,Language
12208,Blood
9370,Cartoon Violence
26292,Language
26293,Cartoon Violence
12043,Intense Violence
12044,Blood
25550,Fantasy Violence
25551,Animated Blood
23747,Language
23748,Cartoon Violence
21775,Drug Reference
7579,Language
15986,Blood and Gore
23550,Language
26094,Cartoon Violence
8637,Intense Violence
8638,Blood
8639,Blood and Gore
25260,Language
6477,Language
25967,Cartoon Violence
25552,Language
25553,Cartoon Violence
33,Language
18508,Animated Blood
18509,Drug Reference
13785,Language
24898,Blood and Gore
9068,Intense Violence
14051,Animated Blood
23949,Fantasy Violence
10942,Fantasy Violence
12352,Blood
15380,Fantasy Violence
23050,Animated Blood
23556,Language
23557,Blood and Gore
25426,Language
6227,Intense Violence
25284,Blood
25554,Intense Violence
25555,Blood and Gore
59,Language
12197,Cartoon Violence
13157,Blood and Gore
21310,Intense Violence
23539,Comic Mischief
23980,Intense Violence
8753,Blood
6073,Language
12751,Cartoon Violence
24577,Fantasy Violence
12046,Blood and Gore
13894,Language
4687,Blood and Gore
6082,Language
10850,Animated Blood
16076,Language
23140,Blood and Gore
23008,Intense Violence
23737,Blood and Gore
22322,Drug Reference
6643,Language
11242,Blood and Gore
22054,Intense Violence
13142,Cartoon Violence
11962,Language
11963,Blood and Gore
8470,Fantasy Violence
12393,Animated Blood
23051,Fantasy Violence
23052,Animated Blood
21679,Intense Violence
15013,Intense Violence
9135,Language
23091,Blood and Gore
23975,Intense Violence
16199,Fantasy Violence
16200,Animated Blood
15659,Intense Violence
15660,Blood and Gore
4804,Language
11143,Cartoon Violence
24229,Language
24230,Cartoon Violence
22377,Intense Violence
25556,Fantasy Violence
12552,Cartoon Violence
12553,Language
11219,Language
25176,Blood and Gore
11042,Language
23999,Cartoon Violence
10876,Intense Violence
10877,Blood and Gore
6189,Cartoon Violence
25557,Language
25558,Cartoon Violence
24102,Drug Reference
22563,Intense Violence
12803,Language
12804,Cartoon Violence
18980,Blood
12550,Language
12551,Cartoon Violence
24872,Intense Violence
24147,Language
24209,Comic Mischief
24062,Intense Violence
9371,Cartoon Violence
12678,Intense Violence
12679,Blood
11580,Cartoon Violence
8772,Fantasy Violence
8773,Blood
3891,Language
11129,Blood and Gore
24668,Comic Mischief
15352,Language
15353,Blood and Gore
14939,Drug Reference
19486,Alcohol Reference
12720,Intense Violence
12721,Blood
23692,Alcohol Reference
23693,Animated Blood
25490,Blood and Gore
25491,Intense Violence
25559,Language
25560,Cartoon Violence
6055,Drug Reference
6056,Blood
11298,Language
11299,Cartoon Violence
24567,Drug Reference
21047,Intense Violence
21048,Blood and Gore
