id,description
6,Comic Mischief
48,Mild Lyrics
8,Drug Reference
19,Sexual Violence
10,Intense Violence
27,Use of Drugs
51,Sex
44,Mild Sexual Themes
3,Blood
29,Violence
37,Mild Cartoon Violence
40,Realistic Violence
14,Nudity
7,Crude Humor
23,Strong Sexual Content
1,Alcohol Reference
18,Sexual Themes
32,Mild Language
24,Suggestive Themes
2,Animated Blood
13,Mature Humor
46,Animated Blood and Gore
53,Fear
57,Gambling
55,Bad Language
58,Online Gameplay
54,Discrimination
50,Violence
9,Fantasy Violence
25,Tobacco Reference
47,Mild Fantasy Violence
30,Violent References
38,Mild Blood
52,Drugs
45,Use of Alcohol and Tobacco
39,Realistic Blood and Gore
11,Language
26,Use of Alcohol
33,Mild Violence
5,Cartoon Violence
12,Lyrics
31,Animated Violence
16,Real Gambling
4,Blood and Gore
43,Mild Animated Violence
49,Realistic Blood
41,Alcohol and Tobacco Reference
21,Strong Language
17,Sexual Content
36,Mild Suggestive Themes
20,Simulated Gambling
34,Use of Drugs and Alcohol
15,Partial Nudity
35,Drug and Alcohol Reference
28,Use of Tobacco
42,Mature Sexual Themes
22,Strong Lyrics
