dlcs,expansions,id,keywords,release_dates,similar_games,tags
0,0,115278,"[1039, 1323, 1868]","[165088, 165089, 165090]","[28010, 54775, 55199, 81249, 96217, 101608, 103168, 103303, 106987, 119171]","[1, 17, 268435468, 536871951, 536872235, 536872780]"
0,0,120268,0,[171992],"[22799, 87668, 87728, 89025, 90965, 105011, 111151, 113895, 117939, 118871]","[1, 268435466, 268435489]"
0,0,105049,[339],"[167897, 167898, 167899]","[55038, 76877, 78632, 96217, 101608, 103276, 103292, 103329, 105269, 106987]","[1, 268435461, 268435468, 268435487, 536871251]"
0,0,113344,0,"[162058, 162059, 169398]","[236, 55984, 81249, 96217, 101608, 106987, 113360, 115653, 116530, 119171]","[17, 268435487]"
0,[126138],19164,[4131],"[167478, 167479, 167480, 179297]","[26950, 55038, 81249, 103298, 103301, 105049, 106987, 115278, 116681, 118218]","[1, 17, 27, 38, 268435461, 536875043]"
0,0,1877,"[103, 106, 121, 970, 1026, 1459, 4142, 4650, 5389, 11296, 16811]","[170778, 170779, 170780, 174442]","[9243, 10776, 18290, 19249, 25300, 26574, 54842, 55038, 102584, 113114]","[18, 33, 38, 268435468, 536871015, 536871018, 536871033, 536871882, 536871938, 536872371, 536875054, 536875562, 536876301, 536882208, 536887723]"
0,0,115653,[409],[170584],"[37382, 55199, 81249, 96217, 99118, 101608, 106987, 116530, 119171, 120564]","[17, 38, 268435468, 268435487, 536871321]"
0,0,36198,"[117, 296, 1026, 1033, 4134, 4154, 4882]","[174008, 174009, 174010, 174011, 174012]","[18869, 19150, 22387, 23733, 28309, 30245, 47823, 55092, 55190, 80916]","[1, 268435468, 268435487, 268435488, 536871029, 536871208, 536871938, 536871945, 536875046, 536875066, 536875794]"
0,0,96217,0,"[165339, 165457, 167459]","[80916, 81249, 81680, 101608, 103303, 106987, 111130, 113360, 116530, 119171]","[1, 17, 268435468, 268435487, 268435488]"
0,[22463],22422,"[78, 343, 358, 847, 1027, 1098, 1148, 1484, 1714, 1834, 1961, 2071, 2452, 3985, 4305, 4364, 4369, 4644, 4921, 5394, 6270, 6318, 6399, 6474, 7412, 9749, 10445, 10518, 10748, 12002]",[54956],"[19785, 19808, 22421, 22423, 22425, 22469, 22482, 22486, 22490, 59218]","[42, 268435469, 268435487, 536870990, 536871255, 536871270, 536871759, 536871939, 536872010, 536872060, 536872396, 536872626, 536872746, 536872873, 536872983, 536873364, 536874897, 536875217, 536875276, 536875281, 536875556, 536875833, 536876306, 536877182, 536877230, 536877311, 536877386, 536878324, 536880661, 536881357, 536881430, 536881660, 536882914]"
0,0,26845,"[296, 1026, 1313, 1484, 1916, 1923, 4287, 4397, 4852, 5193, 11772]",[165061],"[7615, 13196, 19404, 22387, 28168, 28309, 36198, 55038, 55092, 55199]","[17, 39, 268435468, 268435472, 268435480, 268435487, 536871208, 536871938, 536872225, 536872396, 536872828, 536872835, 536875199, 536875309, 536875764, 536876105, 536882684]"
0,0,55038,"[970, 1026]","[152880, 152881, 152882]","[26950, 55199, 81249, 96217, 101608, 103276, 105049, 105269, 106987, 119171]","[1, 17, 18, 268435461, 268435468, 268435487, 536871882, 536871938]"
0,0,22387,"[117, 296, 415, 478, 521, 1026, 1027, 4134, 4154, 4162, 4224]","[179838, 179839, 179840, 179841]","[19150, 23733, 26226, 28309, 35994, 36198, 55092, 55199, 56033, 96217]","[1, 17, 39, 268435468, 268435480, 268435487, 268435488, 536871029, 536871208, 536871327, 536871390, 536871433, 536871938, 536871939, 536875046, 536875066, 536875074, 536875136]"
0,0,22472,"[343, 847, 1270, 1484, 1961, 3586]",[55078],"[19075, 19809, 22426, 22470, 22471, 22482, 28465, 41895, 67166, 68049]","[42, 268435469, 536871255, 536871759, 536872182, 536872396, 536872873, 536874498]"
0,0,22490,"[78, 94, 343, 345, 847, 1027, 1961, 2470, 7296]",[55101],"[17906, 22426, 22482, 41895, 58814, 59046, 59048, 59173, 59218, 68049]","[42, 268435487, 536870990, 536871006, 536871255, 536871257, 536871759, 536871939, 536872873, 536873382, 536878208]"
0,0,68049,"[78, 343, 1148, 1961, 3586, 7296]",0,"[19075, 22426, 22472, 22482, 22490, 28465, 41895, 43130, 67166, 119656]","[42, 268435469, 536870990, 536871255, 536872060, 536872873, 536874498, 536878208]"
0,0,26574,"[1026, 3782]",[63132],"[9243, 10776, 17379, 24765, 25300, 25311, 26145, 27092, 35994, 81680]","[1, 21, 33, 38, 268435468, 268435469, 268435471, 268435487, 268435488, 536871938, 536874694]"
