,id,aggregated_rating,aggregated_rating_count,category,first_release_date,franchise,hypes,name,popularity,pulse_count,rating,rating_count,slug,storyline,summary,time_to_beat,total_rating,total_rating_count,url
0,115278,,,0,1564012800.0,546.0,1.0,Rune Factory 4 Special,2090.3900077560143,17.0,,,rune-factory-4-special,,Experience this legendary fantasy adventure like never before and embark on exciting escapades with your favorite characters in the brand new Newlywed Mode!,,,,https://www.igdb.com/games/rune-factory-4-special
1,120268,,,0,1564012800.0,,,Zombie Driver: Immortal Edition,1431.951475008784,,,,zombie-driver-immortal-edition,,"New and specially improved version of the zombie smashing hit, exclusively for the Xbox One. Insane mix of cars, speed, explosions, blood and zombies! Fight through an epic narrative campaign or test yourself in the Slaughter and Blood Race modes. Engage huge bosses, save survivors, drive crazy vehicles such as a bulldozer, fire truck or even a tank and smash everything in your way. Take part in the Blood Race tournament - chase other cars and take them down without mercy on brutal racing tracks. Jump into the Slaughter mode and survive as long as possible on specially crafted arenas. Experience super smooth gameplay at 60 frames per second and extra crisp visuals. Zombie Driver Ultimate Edition includes all DLC content that was ever created for the game.",,,,https://www.igdb.com/games/zombie-driver-immortal-edition
2,105049,77.0,14.0,0,1566259200.0,,13.0,Remnant: From the Ashes,997.7534158871938,118.0,79.87652035801929,14.0,remnant-from-the-ashes,,"The world is in ruins. Only a remnant of mankind remains, hunted to near extinction by horrors from another world. As one of the few survivors left, you will venture into portals to fantastic realms to gather the resources and firepower needed to fight back and retake what was lost. 
 
Remnant: From the Ashes is a third-person survival-action game set in a post-apocalyptic world overrun by mythical creatures. The game provides players and up to three of their friends with a unique, customizable gameplay experience filled with intense shooting and melee combat, gear and weapon crafting, character progression and dynamically-generated levels that offer an infinite number of ways to explore and take on deadly monsters and epic bosses.",,78.43826017900966,28.0,https://www.igdb.com/games/remnant-from-the-ashes
3,113344,91.4,11.0,2,1567728000.0,,3.0,Monster Hunter: World - Iceborne,746.3429489765377,423.0,,,monster-hunter-world-iceborne,,"Let your hunting instinct take you further than ever! ""Iceborne"" is a massive expansion that picks up after the ending of Monster Hunter: World and opens up the new ""master rank!"" New quests, monsters, weapons, armor, and story await to take your hunting to the next level.",,91.4,11.0,https://www.igdb.com/games/monster-hunter-world-iceborne
4,19164,81.8461538461538,18.0,0,1568332800.0,808.0,53.0,Borderlands 3,633.109277159231,1060.0,84.4623463445463,21.0,borderlands-3,,"The original shooter-looter returns, packing bazillions of guns and a mayhem-fueled adventure! Blast through new worlds and enemies as one of four new Vault Hunters. Play solo or with friends to take on insane enemies, score loads of loot and save your home from the most ruthless cult leaders in the galaxy.",,83.15425009535005,39.0,https://www.igdb.com/games/borderlands-3
5,1877,,,0,1586995200.0,451.0,644.0,Cyberpunk 2077,570.2601350735878,1634.0,,,cyberpunk-2077,"In 2077, America is in pieces. Megacorps control life in all its aspects from the top floors of their sky-high fortresses. Down below, drug-pushing gangs, dirtytech hustlers and slingers of illicit braindances run the streets. The world in between is where decadence, sex and pop culture mix with violent crime, extreme poverty and the unattainable promise of the American Dream. 
 
In a world where you have no future, what matters is that you control who you are. To survive and protect your independence, you modify your body with advanced cyberware and take jobs others would never dare. You choose to live free, bound by no systems or controls — the only rules you obey are your own. Because you’re a Cyberpunk.","The upcoming RPG from CD Projekt RED based on the Cyberpunk 2020 tabletop RPG created by Mike Pondsmith. 
 
In Cyberpunk 2077 you play as V — a hired gun on the rise — and you just got your first serious contract. In a world of cyberenhanced street warriors, tech-savvy netrunners and corporate lifehackers, today you take your first step towards becoming an urban legend.",,,,https://www.igdb.com/games/cyberpunk-2077
6,115653,75.0,1.0,0,1573776000.0,60.0,18.0,Pokémon Shield,512.5270772498009,170.0,,,pokemon-shield,,"Unsheathe your sword and take up your shield! 
 
The world of Pokémon expands to include the Galar region in Pokémon Sword and Pokémon Shield!",,75.0,1.0,https://www.igdb.com/games/pokemon-shield
7,36198,81.625,11.0,0,1567468800.0,,15.0,Children of Morta,430.2815471821859,51.0,79.9391889564762,10.0,children-of-morta,,"Children of Morta is a narrative driven hack and slash roguelike. Take on the role of a member of the Bergson family, the Guardians of Mount Morta, as you fight desperately against the Corruption. Experience not only what it means to be a hero, but to be part of a family that bears the weight of the mountain together.",,80.7820944782381,21.0,https://www.igdb.com/games/children-of-morta
8,96217,54.0,1.0,0,1551744000.0,,,Eternity: The Last Unicorn,395.4768334643354,11.0,60.0,0.0,eternity-the-last-unicorn,,"A fully featured RPG with classic game mechanics and extensive lore based on Norse mythology. As all elven unicorns were taken away and cursed by witchcraft, the elves’ sole existence became endangered. Players will encounter mesmerizing locations and fantasy characters as Aurehen, a young pure Elf, who undertakes her quest to free the last surviving Unicorn that protects Elven immortality.",,57.0,1.0,https://www.igdb.com/games/eternity-the-last-unicorn
9,22422,,,0,1159488000.0,,,Sexy Beach 3,391.1392015751758,,81.9754207455873,16.0,sexy-beach-3,,Sexy Beach 3 is the third game in the Sexy Beach franchise developed by Illusion Software.,,81.9754207455873,16.0,https://www.igdb.com/games/sexy-beach-3
