slug,rating,name
mystery,100.0,WildCraft: Wild Sim Online
erotic,100.0,WildCraft: Wild Sim Online
4x-explore-expand-exploit-and-exterminate,100.0,WildCraft: Wild Sim Online
historical,100.0,WildCraft: Wild Sim Online
party,100.0,WildCraft: Wild Sim Online
sandbox,100.0,WildCraft: Wild Sim Online
horror,100.0,WildCraft: Wild Sim Online
science-fiction,100.0,WildCraft: Wild Sim Online
thriller,100.0,WildCraft: Wild Sim Online
fantasy,100.0,WildCraft: Wild Sim Online
comedy,100.0,WildCraft: Wild Sim Online
warfare,100.0,WildCraft: Wild Sim Online
open-world,100.0,WildCraft: Wild Sim Online
non-fiction,100.0,WildCraft: Wild Sim Online
business,100.0,WildCraft: Wild Sim Online
educational,100.0,WildCraft: Wild Sim Online
action,100.0,WildCraft: Wild Sim Online
stealth,100.0,WildCraft: Wild Sim Online
kids,100.0,WildCraft: Wild Sim Online
drama,100.0,WildCraft: Wild Sim Online
survival,100.0,WildCraft: Wild Sim Online
educational,99.66930871,Aquaria
survival,99.66930871,Aquaria
erotic,99.66930871,Aquaria
historical,99.66930871,Aquaria
open-world,99.66930871,Aquaria
sandbox,99.66930871,Aquaria
non-fiction,99.66930871,Aquaria
thriller,99.66930871,Aquaria
action,99.66930871,Aquaria
kids,99.66930871,Aquaria
stealth,99.66930871,Aquaria
party,99.66930871,Aquaria
science-fiction,99.66930871,Aquaria
fantasy,99.66930871,Aquaria
horror,99.66930871,Aquaria
drama,99.66930871,Aquaria
4x-explore-expand-exploit-and-exterminate,99.66930871,Aquaria
mystery,99.66930871,Aquaria
comedy,99.66930871,Aquaria
business,99.66930871,Aquaria
warfare,99.66930871,Aquaria
4x-explore-expand-exploit-and-exterminate,99.36026129,Atelier Totori: The Adventurer of Arland
non-fiction,99.36026129,Atelier Totori: The Adventurer of Arland
educational,99.36026129,Atelier Totori: The Adventurer of Arland
party,99.36026129,Atelier Totori: The Adventurer of Arland
thriller,99.36026129,Atelier Totori: The Adventurer of Arland
kids,99.36026129,Atelier Totori: The Adventurer of Arland
fantasy,99.36026129,Atelier Totori: The Adventurer of Arland
stealth,99.36026129,Atelier Totori: The Adventurer of Arland
sandbox,99.36026129,Atelier Totori: The Adventurer of Arland
horror,99.36026129,Atelier Totori: The Adventurer of Arland
science-fiction,99.36026129,Atelier Totori: The Adventurer of Arland
open-world,99.36026129,Atelier Totori: The Adventurer of Arland
historical,99.36026129,Atelier Totori: The Adventurer of Arland
erotic,99.36026129,Atelier Totori: The Adventurer of Arland
warfare,99.36026129,Atelier Totori: The Adventurer of Arland
drama,99.36026129,Atelier Totori: The Adventurer of Arland
mystery,99.36026129,Atelier Totori: The Adventurer of Arland
action,99.36026129,Atelier Totori: The Adventurer of Arland
survival,99.36026129,Atelier Totori: The Adventurer of Arland
business,99.36026129,Atelier Totori: The Adventurer of Arland
comedy,99.36026129,Atelier Totori: The Adventurer of Arland
thriller,99.10542499,The Cat Lady
survival,99.10542499,The Cat Lady
non-fiction,99.10542499,The Cat Lady
business,99.10542499,The Cat Lady
science-fiction,99.10542499,The Cat Lady
4x-explore-expand-exploit-and-exterminate,99.10542499,The Cat Lady
drama,99.10542499,The Cat Lady
party,99.10542499,The Cat Lady
kids,99.10542499,The Cat Lady
mystery,99.10542499,The Cat Lady
horror,99.10542499,The Cat Lady
sandbox,99.10542499,The Cat Lady
erotic,99.10542499,The Cat Lady
warfare,99.10542499,The Cat Lady
fantasy,99.10542499,The Cat Lady
open-world,99.10542499,The Cat Lady
comedy,99.10542499,The Cat Lady
stealth,99.10542499,The Cat Lady
historical,99.10542499,The Cat Lady
educational,99.10542499,The Cat Lady
action,99.10542499,The Cat Lady
mystery,98.5125249,The Witcher 3: Wild Hunt - Game of the Year Edition
warfare,98.5125249,The Witcher 3: Wild Hunt - Game of the Year Edition
fantasy,98.5125249,The Witcher 3: Wild Hunt - Game of the Year Edition
non-fiction,98.5125249,The Witcher 3: Wild Hunt - Game of the Year Edition
science-fiction,98.5125249,The Witcher 3: Wild Hunt - Game of the Year Edition
business,98.5125249,The Witcher 3: Wild Hunt - Game of the Year Edition
sandbox,98.5125249,The Witcher 3: Wild Hunt - Game of the Year Edition
kids,98.5125249,The Witcher 3: Wild Hunt - Game of the Year Edition
erotic,98.5125249,The Witcher 3: Wild Hunt - Game of the Year Edition
historical,98.5125249,The Witcher 3: Wild Hunt - Game of the Year Edition
survival,98.5125249,The Witcher 3: Wild Hunt - Game of the Year Edition
action,98.5125249,The Witcher 3: Wild Hunt - Game of the Year Edition
stealth,98.5125249,The Witcher 3: Wild Hunt - Game of the Year Edition
comedy,98.5125249,The Witcher 3: Wild Hunt - Game of the Year Edition
horror,98.5125249,The Witcher 3: Wild Hunt - Game of the Year Edition
open-world,98.5125249,The Witcher 3: Wild Hunt - Game of the Year Edition
4x-explore-expand-exploit-and-exterminate,98.5125249,The Witcher 3: Wild Hunt - Game of the Year Edition
educational,98.5125249,The Witcher 3: Wild Hunt - Game of the Year Edition
thriller,98.5125249,The Witcher 3: Wild Hunt - Game of the Year Edition
drama,98.5125249,The Witcher 3: Wild Hunt - Game of the Year Edition
party,98.5125249,The Witcher 3: Wild Hunt - Game of the Year Edition
mystery,97.0,Pikuniku
stealth,97.0,Pikuniku
erotic,97.0,Pikuniku
4x-explore-expand-exploit-and-exterminate,97.0,Pikuniku
kids,97.0,Pikuniku
science-fiction,97.0,Pikuniku
business,97.0,Pikuniku
party,97.0,Pikuniku
drama,97.0,Pikuniku
thriller,97.0,Pikuniku
non-fiction,97.0,Pikuniku
warfare,97.0,Pikuniku
historical,97.0,Pikuniku
open-world,97.0,Pikuniku
horror,97.0,Pikuniku
fantasy,97.0,Pikuniku
comedy,97.0,Pikuniku
