ids,slugs,urls
546,rune-factory,https://www.igdb.com/franchises/rune-factory
808,borderlands,https://www.igdb.com/franchises/borderlands
451,cyberpunk,https://www.igdb.com/franchises/cyberpunk
60,pokemon,https://www.igdb.com/franchises/pokemon
769,fire-emblem,https://www.igdb.com/franchises/fire-emblem
224,nfl,https://www.igdb.com/franchises/nfl
1319,blacksad,https://www.igdb.com/franchises/blacksad
1330,age-of-empires,https://www.igdb.com/franchises/age-of-empires
49,the-avengers,https://www.igdb.com/franchises/the-avengers
452,the-witcher,https://www.igdb.com/franchises/the-witcher
456,the-elder-scrolls,https://www.igdb.com/franchises/the-elder-scrolls
43,dungeons-dragons,https://www.igdb.com/franchises/dungeons-dragons
458,might-and-magic,https://www.igdb.com/franchises/might-and-magic
1043,forza,https://www.igdb.com/franchises/forza
1277,wolfenstein,https://www.igdb.com/franchises/wolfenstein
726,call-of-duty,https://www.igdb.com/franchises/call-of-duty
884,red-dead,https://www.igdb.com/franchises/red-dead
151,spider-man,https://www.igdb.com/franchises/spider-man
1276,gears-of-war,https://www.igdb.com/franchises/gears-of-war
4,final-fantasy,https://www.igdb.com/franchises/final-fantasy
875,fate,https://www.igdb.com/franchises/fate
1344,metro,https://www.igdb.com/franchises/metro
509,warhammer,https://www.igdb.com/franchises/warhammer
596,the-legend-of-zelda,https://www.igdb.com/franchises/the-legend-of-zelda
798,doom,https://www.igdb.com/franchises/doom
1230,rise-of-nations,https://www.igdb.com/franchises/rise-of-nations
592,megami-tensei,https://www.igdb.com/franchises/megami-tensei
950,minecraft,https://www.igdb.com/franchises/minecraft
1571,playeruknowns-battlegrounds,https://www.igdb.com/franchises/playeruknowns-battlegrounds
11,the-lord-of-the-rings,https://www.igdb.com/franchises/the-lord-of-the-rings
1267,anima-beyond-fantasy,https://www.igdb.com/franchises/anima-beyond-fantasy
1351,crash-bandicoot,https://www.igdb.com/franchises/crash-bandicoot
988,god-eater,https://www.igdb.com/franchises/god-eater
1174,stronghold,https://www.igdb.com/franchises/stronghold
857,tom-clancys,https://www.igdb.com/franchises/tom-clancys
1148,zoids,https://www.igdb.com/franchises/zoids
9,tom-clancy,https://www.igdb.com/franchises/tom-clancy
24,mario-bros,https://www.igdb.com/franchises/mario-bros
561,senran-kagura,https://www.igdb.com/franchises/senran-kagura
824,monster-hunter,https://www.igdb.com/franchises/monster-hunter
585,forsaken-world,https://www.igdb.com/franchises/forsaken-world
126,romance-of-the-three-kingdoms,https://www.igdb.com/franchises/romance-of-the-three-kingdoms
493,grand-theft-auto,https://www.igdb.com/franchises/grand-theft-auto
1047,dragon-age,https://www.igdb.com/franchises/dragon-age
302,garfield,https://www.igdb.com/franchises/garfield
1279,vigor,https://www.igdb.com/franchises/vigor
900,atelier,https://www.igdb.com/franchises/atelier
137,halo,https://www.igdb.com/franchises/halo
463,metal-gear,https://www.igdb.com/franchises/metal-gear
571,assassins-creed,https://www.igdb.com/franchises/assassins-creed
1285,kill-la-kill,https://www.igdb.com/franchises/kill-la-kill
789,kirby,https://www.igdb.com/franchises/kirby
557,warlords,https://www.igdb.com/franchises/warlords
960,destiny,https://www.igdb.com/franchises/destiny
5,batman,https://www.igdb.com/franchises/batman
1467,yakuza,https://www.igdb.com/franchises/yakuza
1,star-wars,https://www.igdb.com/franchises/star-wars
279,tomb-raider,https://www.igdb.com/franchises/tomb-raider
29,resident-evil,https://www.igdb.com/franchises/resident-evil
3,conan,https://www.igdb.com/franchises/conan
