,age_ratings,aggregated_rating,aggregated_rating_count,artworks,category,dlcs,expansions,first_release_date,franchise,franchises,game_modes,genres,hypes,id,keywords,multiplayer_modes,name,popularity,pulse_count,rating,rating_count,release_dates,similar_games,slug,storyline,summary,tags,themes,time_to_beat,total_rating,total_rating_count,url
0,[25494],0.0,0.0,0,0,0,0,1564012800.0,546.0,[546],[1],[12],1.0,115278,"[1039, 1323, 1868]",0,Rune Factory 4 Special,2090.390007756014,17.0,0.0,0.0,"[165088, 165089, 165090]","[28010, 54775, 55199, 81249, 96217, 101608, 103168, 103303, 106987, 119171]",rune-factory-4-special,0,Experience this legendary fantasy adventure like never before and embark on exciting escapades with your favorite characters in the brand new Newlywed Mode!,"[1, 17, 268435468, 536871951, 536872235, 536872780]","[1, 17]",0.0,0.0,0.0,https://www.igdb.com/games/rune-factory-4-special
1,[25488],0.0,0.0,0,0,0,0,1564012800.0,0.0,0,[2],"[10, 33]",0.0,120268,0,[9665],Zombie Driver: Immortal Edition,1431.951475008784,0.0,0.0,0.0,[171992],"[22799, 87668, 87728, 89025, 90965, 105011, 111151, 113895, 117939, 118871]",zombie-driver-immortal-edition,0,"New and specially improved version of the zombie smashing hit, exclusively for the Xbox One. Insane mix of cars, speed, explosions, blood and zombies! Fight through an epic narrative campaign or test yourself in the Slaughter and Blood Race modes. Engage huge bosses, save survivors, drive crazy vehicles such as a bulldozer, fire truck or even a tank and smash everything in your way. Take part in the Blood Race tournament - chase other cars and take them down without mercy on brutal racing tracks. Jump into the Slaughter mode and survive as long as possible on specially crafted arenas. Experience super smooth gameplay at 60 frames per second and extra crisp visuals. Zombie Driver Ultimate Edition includes all DLC content that was ever created for the game.","[1, 268435466, 268435489]",[1],0.0,0.0,0.0,https://www.igdb.com/games/zombie-driver-immortal-edition
2,[25485],77.0,14.0,"[6103, 6970]",0,0,0,1566259200.0,0.0,0,"[1, 2, 3]","[5, 12, 31]",13.0,105049,[339],"[8827, 8828, 8829]",Remnant: From the Ashes,997.7624604734082,118.0,79.8765203580193,14.0,"[167897, 167898, 167899]","[55038, 76877, 78632, 96217, 101608, 103276, 103292, 103329, 105269, 106987]",remnant-from-the-ashes,0,"The world is in ruins. Only a remnant of mankind remains, hunted to near extinction by horrors from another world. As one of the few survivors left, you will venture into portals to fantastic realms to gather the resources and firepower needed to fight back and retake what was lost. 
 
Remnant: From the Ashes is a third-person survival-action game set in a post-apocalyptic world overrun by mythical creatures. The game provides players and up to three of their friends with a unique, customizable gameplay experience filled with intense shooting and melee combat, gear and weapon crafting, character progression and dynamically-generated levels that offer an infinite number of ways to explore and take on deadly monsters and epic bosses.","[1, 268435461, 268435468, 268435487, 536871251]",[1],0.0,78.43826017900966,28.0,https://www.igdb.com/games/remnant-from-the-ashes
3,[25457],91.4,11.0,"[7618, 7619]",2,0,0,1567728000.0,0.0,0,"[1, 2]",[31],3.0,113344,0,0,Monster Hunter: World - Iceborne,746.3429489765377,423.0,0.0,0.0,"[162058, 162059, 169398]","[236, 55984, 81249, 96217, 101608, 106987, 113360, 115653, 116530, 119171]",monster-hunter-world-iceborne,0,"Let your hunting instinct take you further than ever! ""Iceborne"" is a massive expansion that picks up after the ending of Monster Hunter: World and opens up the new ""master rank!"" New quests, monsters, weapons, armor, and story await to take your hunting to the next level.","[17, 268435487]",[17],0.0,91.4,11.0,https://www.igdb.com/games/monster-hunter-world-iceborne
4,"[25428, 25841]",81.8461538461538,18.0,"[6931, 6932, 6933]",0,0,[126138],1568332800.0,808.0,[808],"[1, 2]",[5],53.0,19164,[4131],[9762],Borderlands 3,633.109277159231,1045.0,84.46234634454629,21.0,"[167478, 167479, 167480, 179297]","[26950, 55038, 81249, 103298, 103301, 105049, 106987, 115278, 116681, 118218]",borderlands-3,0,"The original shooter-looter returns, packing bazillions of guns and a mayhem-fueled adventure! Blast through new worlds and enemies as one of four new Vault Hunters. Play solo or with friends to take on insane enemies, score loads of loot and save your home from the most ruthless cult leaders in the galaxy.","[1, 17, 27, 38, 268435461, 536875043]","[1, 17, 27, 38]",0.0,83.15425009535005,39.0,https://www.igdb.com/games/borderlands-3
5,[6032],0.0,0.0,"[4939, 4940, 4941, 4942, 5034, 5035, 5036, 5037, 5038, 5673, 5674, 8066]",0,0,0,1586995200.0,451.0,[451],"[1, 2]",[12],644.0,1877,"[103, 106, 121, 970, 1026, 1459, 4142, 4650, 5389, 11296, 16811]",0,Cyberpunk 2077,570.2601350735878,1634.0,0.0,0.0,"[170778, 170779, 170780, 174442]","[9243, 10776, 18290, 19249, 25300, 26574, 54842, 55038, 102584, 113114]",cyberpunk-2077,"In 2077, America is in pieces. Megacorps control life in all its aspects from the top floors of their sky-high fortresses. Down below, drug-pushing gangs, dirtytech hustlers and slingers of illicit braindances run the streets. The world in between is where decadence, sex and pop culture mix with violent crime, extreme poverty and the unattainable promise of the American Dream. 
 
In a world where you have no future, what matters is that you control who you are. To survive and protect your independence, you modify your body with advanced cyberware and take jobs others would never dare. You choose to live free, bound by no systems or controls — the only rules you obey are your own. Because you’re a Cyberpunk.","The upcoming RPG from CD Projekt RED based on the Cyberpunk 2020 tabletop RPG created by Mike Pondsmith. 
 
In Cyberpunk 2077 you play as V — a hired gun on the rise — and you just got your first serious contract. In a world of cyberenhanced street warriors, tech-savvy netrunners and corporate lifehackers, today you take your first step towards becoming an urban legend.","[18, 33, 38, 268435468, 536871015, 536871018, 536871033, 536871882, 536871938, 536872371, 536875054, 536875562, 536876301, 536882208, 536887723]","[18, 33, 38]",0.0,0.0,0.0,https://www.igdb.com/games/cyberpunk-2077
6,[24208],75.0,1.0,"[6659, 7647, 7648, 8232]",0,0,0,1573776000.0,60.0,[60],"[1, 2]","[12, 31]",18.0,115653,[409],0,Pokémon Shield,512.5270772498009,170.0,0.0,0.0,[170584],"[37382, 55199, 81249, 96217, 99118, 101608, 106987, 116530, 119171, 120564]",pokemon-shield,0,"Unsheathe your sword and take up your shield! 
 
The world of Pokémon expands to include the Galar region in Pokémon Sword and Pokémon Shield!","[17, 38, 268435468, 268435487, 536871321]","[17, 38]",0.0,75.0,1.0,https://www.igdb.com/games/pokemon-shield
7,0,81.625,11.0,"[5865, 5866, 5867, 5868]",0,0,0,1567468800.0,0.0,0,"[1, 2, 3]","[12, 31, 32]",15.0,36198,"[117, 296, 1026, 1033, 4134, 4154, 4882]",[4186],Children of Morta,430.2815471821859,51.0,79.9391889564762,10.0,"[174008, 174009, 174010, 174011, 174012]","[18869, 19150, 22387, 23733, 28309, 30245, 47823, 55092, 55190, 80916]",children-of-morta,0,"Children of Morta is a narrative driven hack and slash roguelike. Take on the role of a member of the Bergson family, the Guardians of Mount Morta, as you fight desperately against the Corruption. Experience not only what it means to be a hero, but to be part of a family that bears the weight of the mountain together.","[1, 268435468, 268435487, 268435488, 536871029, 536871208, 536871938, 536871945, 536875046, 536875066, 536875794]",[1],0.0,80.7820944782381,21.0,https://www.igdb.com/games/children-of-morta
8,"[25528, 25529]",54.0,1.0,[7375],0,0,0,1551744000.0,0.0,0,[1],"[12, 31, 32]",0.0,96217,0,0,Eternity: The Last Unicorn,395.4768334643354,11.0,60.0,0.0,"[165339, 165457, 167459]","[80916, 81249, 81680, 101608, 103303, 106987, 111130, 113360, 116530, 119171]",eternity-the-last-unicorn,0,"A fully featured RPG with classic game mechanics and extensive lore based on Norse mythology. As all elven unicorns were taken away and cursed by witchcraft, the elves’ sole existence became endangered. Players will encounter mesmerizing locations and fantasy characters as Aurehen, a young pure Elf, who undertakes her quest to free the last surviving Unicorn that protects Elven immortality.","[1, 17, 268435468, 268435487, 268435488]","[1, 17]",0.0,57.0,1.0,https://www.igdb.com/games/eternity-the-last-unicorn
9,0,0.0,0.0,0,0,0,[22463],1159488000.0,0.0,0,[1],"[13, 31]",0.0,22422,"[78, 343, 358, 847, 1027, 1098, 1148, 1484, 1714, 1834, 1961, 2071, 2452, 3985, 4305, 4364, 4369, 4644, 4921, 5394, 6270, 6318, 6399, 6474, 7412, 9749, 10445, 10518, 10748, 12002]",0,Sexy Beach 3,391.1392015751758,0.0,81.97542074558729,16.0,[54956],"[19785, 19808, 22421, 22423, 22425, 22469, 22482, 22486, 22490, 59218]",sexy-beach-3,0,Sexy Beach 3 is the third game in the Sexy Beach franchise developed by Illusion Software.,"[42, 268435469, 268435487, 536870990, 536871255, 536871270, 536871759, 536871939, 536872010, 536872060, 536872396, 536872626, 536872746, 536872873, 536872983, 536873364, 536874897, 536875217, 536875276, 536875281, 536875556, 536875833, 536876306, 536877182, 536877230, 536877311, 536877386, 536878324, 536880661, 536881357, 536881430, 536881660, 536882914]",[42],0.0,81.97542074558729,16.0,https://www.igdb.com/games/sexy-beach-3
