game_names,ratings,f_names
Borderlands 3,83.1542501,borderlands
Pokémon Shield,75,pokemon
Fire Emblem: Three Houses,91.49202193,fire-emblem
Madden NFL 20,75.5,nfl
Blacksad: Under the Skin,54.5,blacksad
The Witcher 3: Wild Hunt,94.02808558,the-witcher
Pokémon Masters,26.5,pokemon
Might & Magic Heroes VII,64.47552969,might-and-magic
Wolfenstein: Youngblood,69.62715372,wolfenstein
Call Of Duty: Modern Warfare,75.54037051,call-of-duty
Red Dead Redemption 2,94.06007641,red-dead
The Amazing Spider-Man 2,52.9720138,spider-man
Gears 5,82.95902711,gears-of-war
Final Fantasy VII Remake,90,final-fantasy
Fate/stay night,91.50468476,fate
Metro Exodus,82.94218367,metro
Warhammer: Chaosbane,62.74577593,warhammer
The Legend of Zelda: Breath of the Wild,95.31536941,the-legend-of-zelda
Call of Duty: Mobile,71.98222944,call-of-duty
Rise of Nations,87.43599053,rise-of-nations
Persona 5,93.99581445,megami-tensei
Marvel's Spider-Man,89.06364681,spider-man
Minecraft,83.56514595,minecraft
PUBG Mobile,68.03049398,playeruknowns-battlegrounds
Middle-earth: Shadow of Mordor,82.25913221,the-lord-of-the-rings
ANIMA: GATE OF MEMORIES - THE NAMELESS CHRONICLES,64.25,anima-beyond-fantasy
Crash Team Racing Nitro-Fueled,81.7049808,crash-bandicoot
Pokémon Sword,76.25,pokemon
God Eater 3,76.375,god-eater
Tom Clancy's Ghost Recon: Breakpoint,66.3278732,tom-clancys
Tom Clancy's Ghost Recon: Wildlands,73.38705001,tom-clancy
Super Mario Maker 2,85.43199817,mario-bros
Senran Kagura Reflexions,68.33333333,senran-kagura
Monster Hunter: World,90.86783937,monster-hunter
Forsaken World,77.92577493,forsaken-world
Three Kingdoms: Fate of the Dragon,77.75438596,romance-of-the-three-kingdoms
Grand Theft Auto: San Andreas,91.61814662,grand-theft-auto
Tom Clancy's The Division 2,82.07718569,tom-clancys
Dragon Age: Inquisition,86.17162083,dragon-age
The Lord of the Rings: The Battle for Middle-earth II,80.98141198,the-lord-of-the-rings
Atelier Firis: The Alchemist and the Mysterious Journey,78.33333333,atelier
Grand Theft Auto: Vice City,91.18028082,grand-theft-auto
Atelier Totori: The Adventurer of Arland,85.43013064,atelier
DOOM,86.64892515,doom
Metal Gear Solid V: The Phantom Pain,90.91278963,metal-gear
Assassin's Creed: Odyssey,87.62896058,assassins-creed
Marvel Ultimate Alliance 3: The Black Order,68.4133889,spider-man
Super Mario Odyssey,93.76402245,mario-bros
Kill la Kill the Game: If,70,kill-la-kill
Super Smash Bros. Ultimate,87.86125783,kirby
Warlords Battlecry III,87.42699699,warlords
Destiny 2: Shadowkeep,77.42857143,destiny
Batman: Arkham City,89.02534856,batman
Judgment,89.48104714,yakuza
Planescape: Torment,81.57982365,dungeons-dragons
Final Fantasy XV,79.89258229,final-fantasy
Assassin's Creed: Origins,85.52003144,assassins-creed
Batman: Arkham Knight,88.7974732,batman
Rise of the Tomb Raider,85.08052663,tomb-raider
Resident Evil 2,90.19254538,resident-evil
Conan Exiles,68.85005628,conan
The Legend of Zelda: Link's Awakening,88.04653962,the-legend-of-zelda
